field_1,Unnamed: 0,주차장id,주차장이름,주소,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"378","1030","20589690",석계역 공영주차장,서울 노원구 월계동 50-9,127.063196763448,37.6152771850663,H,월계1동,127.063001311172,37.6198903481161
"379","1032","20516205",묵2동공영주차장,서울 중랑구 묵동 236-16,127.073768064588,37.6122185011823,H,묵2동,127.076021528918,37.6096042030758
"383","1038","933182581",석계역앞 주차장,서울 노원구 월계동 59-3,127.065185948121,37.6155860430148,H,월계1동,127.063001311172,37.6198903481161
"385","1040","2005321956",성북정보도서관 노상주차장,서울 성북구 상월곡동 24-348,127.050708024465,37.6048930049404,H,월곡2동,127.047886454934,37.6057915694944
"422","1136","11470681",묵중안주차장,서울 중랑구 묵동 245,127.075951640362,37.6121558488066,H,묵2동,127.076021528918,37.6096042030758
"443","1215","20518222",송중동공영주차장,서울 강북구 미아동 48-1,127.033624161529,37.6116204905392,H,송중동,127.033793824171,37.6161289893513
"444","1216","2077284886",송중동 노상공영주차장,서울 강북구 미아동 860-301,127.033465338143,37.6110366947772,H,송중동,127.033793824171,37.6161289893513
"445","1217","20589572",송중동임시공영주차장,서울 강북구 미아동 860-301,127.033488017119,37.6110979556023,H,송중동,127.033793824171,37.6161289893513
"448","1220","25613338",거주자우선주차장,서울 성북구 하월곡동 226-4,127.041256107354,37.6003917357356,H,월곡2동,127.047886454934,37.6057915694944
"451","1223","201582169",장위12구역공영주차장,서울 성북구 장위동 231-482,127.038793754331,37.6125415170418,H,장위1동,127.043737294008,37.6140462415576
"466","1348","689076100",어울림소공원 공영주차장,서울 강북구 미아동 4-1,127.035325468223,37.6167583315917,H,송중동,127.033793824171,37.6161289893513
"467","1356","20517891",동방고개 공영주차장,서울 성북구 장위동 230-110,127.040978591741,37.6147067553901,H,장위1동,127.043737294008,37.6140462415576
"468","1361","135174752",장위행복누림복합센터 거주자우선주차장,서울 성북구 장위동 283-1,127.046030329234,37.6150364568022,H,장위1동,127.043737294008,37.6140462415576
"469","1363","443697553",장위전통시장 공영주차장,서울 성북구 장위동 68-130,127.049889470081,37.6103245189614,H,장위2동,127.054518647758,37.612405557741
"470","1370","1230046416",장위전통시장 제2공영주차장,서울 성북구 장위동 68-110,127.052494912276,37.6110982393831,H,장위2동,127.054518647758,37.612405557741
"471","1374","1582816394",마을공원 공영주차장,서울 성북구 장위동 77-79,127.052929648151,37.6172454901448,H,장위3동,127.056605765307,37.6165491221755
"472","1376","963722416",장위3동 공영주차장,서울 성북구 장위동 77-79,127.053280683637,37.6171164908734,H,장위3동,127.056605765307,37.6165491221755
"473","1405","806667101",석계역노상공영주차장,서울 노원구 월계동 36-5,127.06496125041,37.6163889474356,H,월계1동,127.063001311172,37.6198903481161
"474","1407","20562676",월계1동공영주차장,서울 노원구 월계동 36-4,127.064693120867,37.6167467870261,H,월계1동,127.063001311172,37.6198903481161
"476","1414","26331890",한천로 공영주차장 개방화장실,서울 성북구 장위동 158-1,127.052591191035,37.6207612959487,H,장위3동,127.056605765307,37.6165491221755
"494","1482","1010728249",강북문화정보도서관 주차장,서울 강북구 번동 산 27-108,127.036071369541,37.6250534986159,H,번2동,127.038804065358,37.6323812548073
"572","1719","27097521",그린존 석계역공영주차장,서울 노원구 월계동 54-1,127.063496019186,37.6155581327842,H,월계1동,127.063001311172,37.6198903481161
"573","1720","1508435534",피플존 석계역 1번출구(석계역 공영주차장),서울 노원구 월계동 489-17,127.062621666905,37.6156162632563,H,월계1동,127.063001311172,37.6198903481161
